"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","WEEK #14","2020-04-05","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2020","WEEK #15","2020-04-12","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2020","WEEK #16","2020-04-19","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2020","WEEK #17","2020-04-26","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","62",""
"SURVEY","2020","WEEK #18","2020-05-03","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","57",""
"SURVEY","2020","WEEK #43","2019-10-27","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2020","WEEK #44","2019-11-03","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2020","WEEK #45","2019-11-10","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2020","WEEK #46","2019-11-17","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","46",""
"SURVEY","2020","WEEK #47","2019-11-24","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2019","WEEK #13","2019-03-31","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2019","WEEK #14","2019-04-07","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2019","WEEK #15","2019-04-14","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2019","WEEK #16","2019-04-21","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","55",""
"SURVEY","2019","WEEK #17","2019-04-28","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2019","WEEK #18","2019-05-05","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","58",""
"SURVEY","2019","WEEK #19","2019-05-12","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2019","WEEK #20","2019-05-19","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2019","WEEK #21","2019-05-26","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2019","WEEK #22","2019-06-02","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","41",""
"SURVEY","2019","WEEK #23","2019-06-09","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2019","WEEK #24","2019-06-16","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","38",""
"SURVEY","2019","WEEK #25","2019-06-23","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2019","WEEK #26","2019-06-30","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2019","WEEK #43","2018-10-28","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2019","WEEK #44","2018-11-04","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2019","WEEK #45","2018-11-11","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2019","WEEK #46","2018-11-18","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2018","WEEK #13","2018-04-01","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2018","WEEK #16","2018-04-22","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","54",""
"SURVEY","2018","WEEK #17","2018-04-29","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2018","WEEK #18","2018-05-06","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2018","WEEK #19","2018-05-13","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2018","WEEK #20","2018-05-20","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2018","WEEK #21","2018-05-27","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2018","WEEK #22","2018-06-03","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2018","WEEK #23","2018-06-10","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2018","WEEK #24","2018-06-17","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","46",""
"SURVEY","2018","WEEK #25","2018-06-24","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2018","WEEK #26","2018-07-01","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2018","WEEK #43","2017-10-29","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","39",""
"SURVEY","2018","WEEK #44","2017-11-05","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","39",""
"SURVEY","2018","WEEK #45","2017-11-12","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2018","WEEK #46","2017-11-19","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2018","WEEK #48","2017-12-03","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","58",""
"SURVEY","2018","WEEK #49","2017-12-10","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - CONDITION, 5 YEAR AVG, MEASURED IN PCT EXCELLENT","TOTAL","NOT SPECIFIED","53",""
